ontology.id	ontology.label	variable.name	function.name
NCIT:C28077	Grade 1	GRADE_1	grade1
NCIT:C28078	Grade 2	GRADE_2	grade2
NCIT:C28079	Grade 3	GRADE_3	grade3
NCIT:C28080	Grade 3a	GRADE_3A	grade3a
NCIT:C28081	Grade 3b	GRADE_3B	grade3b
NCIT:C28082	Grade 4	GRADE_4	grade4
